Time,Gold Probe Temperature,Stainless Steel Probe Temperature,Convectron Pressure,Baratron Pressure,Ion Gauge Pressure,Plasma Power,Flow Rate
1,23.094,23.073,2.3854659413768656e+17,0.0015561326440225157,-0.009780407050358918,over range,,
2,23.043,23.45,-4.6229488357471e+18,0.0015375743833435254,-0.009691355237006065,over range,,
3,22.905,23.253,-3.9529305827200143e+18,0.001546825682012569,-0.009765565081466775,over range,,
4,22.983,23.122,-1.5789374168302817e+18,0.0015547189070290236,-0.009772986065912845,over range,,
5,23.082,23.184,-1.1586318733136801e+18,0.0015487952234076103,-0.009743302128128562,over range,,
6,23.019,23.037,-2.044698275812985e+17,0.0015606652469881608,-0.009713618190344277,over range,,
7,23.062,23.176,-1.2949433579389187e+18,0.001542052931002437,-0.009735881143682491,over range,,
8,23.012,23.149,-1.5562113751244541e+18,0.0015381334897079917,-0.009691355237006065,over range,,
9,22.986,23.108,-1.3858334351587377e+18,0.0015269898926563085,-0.009750723112574633,1.5914494985372586e-05,,
10,23.099,23.231,-1.4993933564247168e+18,0.0015417726399947962,-0.009691355237006065,1.5914494985372586e-05,,
11,23.067,23.193,-1.4312488344703478e+18,0.001556415545648541,-0.009750723112574633,1.2148740112206724e-05,,
12,23.117,23.283,-1.885583219775681e+18,0.0015409320726171387,-0.009824932957035343,9.680940736889169e-06,,
13,22.984,23.092,-1.2268068823415841e+18,0.0015378539111169792,-0.009683934252559994,9.286996988103056e-06,,
14,23.084,23.164,-9.087341312266697e+17,0.0015378539111169792,-0.009839774925927487,8.47937282977e-06,,
15,22.987,23.169,-2.0673682998154094e+18,0.0015462634160653545,-0.00980267000369713,8.480951762630866e-06,,
16,23.032,23.241,-2.374035238778738e+18,0.0015541537719209902,-0.009758144097020704,over range,,
17,23.108,23.376,-3.044144065744873e+18,0.0015566984987054838,-0.009750723112574633,over range,,
18,23.043,23.278,-2.6693521224755133e+18,0.001534781898543427,-0.009735881143682491,over range,,
19,22.985,23.11,-1.419910798252516e+18,0.0015487952234076103,-0.009691355237006065,over range,,
20,23.061,23.298,-2.692060398104583e+18,0.0015482322415387047,-0.009765565081466775,over range,,
21,23.088,23.124,-4.0893328534342854e+17,0.0015440163953515692,-0.009758144097020704,over range,,
22,23.02,23.229,-2.3740403295158374e+18,0.0015618004590846675,-0.00972846015923642,over range,,
23,23.086,23.297,-2.396729305585287e+18,0.0015479508273496595,-0.009698776221452135,over range,,
24,23.102,23.387,-3.2372364048911365e+18,0.0015406519853421456,-0.009772986065912845,over range,,
25,23.149,23.215,-7.496988220073111e+17,0.0015504853976107263,-0.009765565081466775,over range,,
26,22.983,23.2,-2.464925463480985e+18,0.0015426136658959206,-0.009817511972589272,over range,,
27,23.116,23.115,1.135927622123415e+16,0.0015462634160653545,-0.009743302128128562,over range,,
28,23.062,23.317,-2.896510856178323e+18,0.0015370154802123472,-0.009706197205898206,over range,,
29,23.06,23.131,-8.065063025720735e+17,0.001544297094269192,-0.00980267000369713,over range,,
30,23.02,23.143,-1.3971839751629722e+18,0.0015530241179044007,-0.009743302128128562,over range,,
31,23.1,23.055,5.1117292086436416e+17,0.0015412122108114067,-0.009854616894819628,over range,,
32,23.081,23.255,-1.976464585160232e+18,0.0015547189070290236,-0.009750723112574633,over range,,
33,23.08,23.35,-3.0668757848175084e+18,0.001546544523486594,-0.009758144097020704,over range,,
34,23.121,23.206,-9.655227634408279e+17,0.0015485137068882546,-0.009713618190344277,over range,,
35,23.059,23.167,-1.2267904189201736e+18,0.0015414923999342062,-0.009743302128128562,over range,,
36,23.037,23.262,-2.555769974485737e+18,0.00153533998947993,-0.009750723112574633,over range,,
37,23.072,23.191,-1.3517354936892767e+18,0.001544297094269192,-0.009743302128128562,over range,,
38,23.018,23.169,-1.715234138857817e+18,0.0015372949063783932,-0.009639408345883567,over range,,
39,23.006,23.18,-1.9764910799327186e+18,0.0015462634160653545,-0.009765565081466775,over range,,
40,22.992,23.342,-3.975585396490888e+18,0.0015350609186490457,-0.009713618190344277,over range,,
41,23.107,23.234,-1.4425973801516954e+18,0.0015392523124324218,-0.00966167129922178,over range,,
42,23.11,23.196,-9.768836011569801e+17,0.0015518952849894426,-0.009706197205898206,over range,,
43,23.215,23.1,1.3063202725189655e+18,0.0015499218013691669,-0.009765565081466775,over range,,
44,23.079,23.049,3.407823134569767e+17,0.0015569815032026946,-0.009743302128128562,over range,,
45,23.061,23.237,-1.9991889984041065e+18,0.0015370154802123472,-0.00972846015923642,over range,,
46,22.944,23.178,-2.6580406788074573e+18,0.0015434551505706332,-0.009698776221452135,over range,,
47,23.049,23.407,-4.066408770022561e+18,0.0015423332729663905,-0.009743302128128562,over range,,
48,23.045,23.156,-1.260870411256664e+18,0.0015471068916525696,-0.009602303423653211,over range,,
49,23.049,23.209,-1.8174536388915453e+18,0.0015558497938180599,-0.00946130471917786,over range,,
50,22.985,23.378,-4.4639857874441405e+18,0.0015544363137922493,-0.006886223116391193,over range,,
51,23.031,23.195,-1.8628946422372134e+18,0.001544297094269192,-0.003695199804580625,over range,,
52,22.959,23.283,-3.680294959080255e+18,0.001539532145249838,-0.0031683099089095776,over range,,
53,23.053,23.373,-3.634800829629319e+18,0.0015530241179044007,-0.0031683099089095776,over range,,
54,23.039,23.299,-2.9533146773493074e+18,0.0015381334897079917,-0.003197993846693862,over range,,
55,22.92,23.133,-2.4195180418896466e+18,0.0015314376104922848,-0.003197993846693862,over range,,
56,23.09,23.387,-3.3735410956234e+18,0.0015490767911060742,-0.0026636829665767437,over range,,
57,23.009,23.289,-3.1804984086342036e+18,0.0015426136658959206,-0.002352001619841758,over range,,
58,22.998,23.305,-3.4871793640830203e+18,0.0015595308600332377,-0.0021961609464742652,over range,,
59,23.184,23.175,1.0223238864561114e+17,0.001533108842624084,-0.0020106363353224878,over range,,
60,23.086,23.041,5.1117420267867334e+17,0.0015544363137922493,-0.001854795661954995,over range,,
61,23.045,23.203,-1.794737393364172e+18,0.0015448586452051247,-0.0017583228641560708,over range,,
62,23.002,23.119,-1.3290343665118874e+18,0.0015482322415387047,-0.0017137969574796443,over range,,
63,23.119,23.105,1.590301517205094e+17,0.0015384131191258012,-0.0016470080974650045,over range,,
64,23.059,23.066,-7.951563104865546e+16,0.001564926551887978,-0.0015579562841121514,over range,,
65,23.0,23.123,-1.3971889749426235e+18,0.0015550015516406512,-0.0015282723463278672,over range,,
66,23.131,23.178,-5.338799654015006e+17,0.0015527418327207043,-0.0015356933307739383,over range,,
67,22.975,23.168,-2.1923195232052004e+18,0.0015345029291538538,-0.0013798526574064455,over range,,
68,22.983,22.969,1.5903402618998538e+17,0.0015414923999342062,-0.001335326750730019,over range,,
69,23.098,23.252,-1.749285685332532e+18,0.0015333875585716724,-0.0014243785640828718,over range,,
70,22.98,23.219,-2.714816520579388e+18,0.0015462634160653545,-0.0012833798596075213,over range,,
71,23.17,23.219,-5.565941820434652e+17,0.001544297094269192,-0.0008826466995196825,over range,,
72,23.008,23.223,-2.442197216089492e+18,0.0015581140357812753,-0.00018507416158900015,over range,,
73,23.078,23.121,-4.8844835304542605e+17,0.0015578308254294592,0.0003789206563124026,over range,,
74,22.892,23.256,-4.1346723015656187e+18,0.0015417726399947962,0.0003789206563124026,over range,,
75,23.003,23.178,-1.98785093500557e+18,0.0015454204003371639,0.0003789206563124026,over range,,
76,22.877,23.124,-2.8057367077731374e+18,0.0015496400800775459,0.00040118360965061585,over range,,
77,23.037,23.35,-3.55530415054769e+18,0.0015709119330694474,0.0003047108118516917,over range,,
78,23.072,23.233,-1.828804879594654e+18,0.001544297094269192,0.0005421823141259666,over range,,
79,23.084,23.211,-1.442603310137349e+18,0.001556415545648541,0.00040118360965061585,over range,,
80,23.113,23.223,-1.2494962500922926e+18,0.001533108842624084,0.00046055148521918456,over range,,
81,23.146,23.367,-2.5102870098655877e+18,0.0015412122108114067,0.0003863416407584737,over range,,
82,23.015,23.306,-3.305436526952033e+18,0.0015392523124324218,0.0004382885318809713,over range,,
83,22.99,23.201,-2.396770413895548e+18,0.0015552842476364718,0.0004086045940966869,over range,,
84,23.109,23.205,-1.0904729630551296e+18,0.0015386927993796477,0.00040118360965061585,over range,,
85,23.046,23.077,-3.521399581866189e+17,0.0015400919635129634,0.0003789206563124026,over range,,
86,23.074,23.231,-1.7833693708990756e+18,0.0015471068916525696,4.497635623920359e-05,over range,,
87,23.126,23.199,-8.292147050814222e+17,0.0015364567802405827,0.00011176521625384339,over range,,
88,23.029,23.205,-1.9992004322677914e+18,0.001539532145249838,0.00011918620069991449,over range,,
89,22.902,23.289,-4.3959031576479764e+18,0.0015367361048361544,0.00011918620069991449,over range,,
90,23.068,23.068,0.0,0.001556415545648541,5.239734068527468e-05,over range,,
91,23.187,23.121,7.497114256046488e+17,0.0015462634160653545,6.723930957741687e-05,over range,,
92,22.92,23.195,-3.1237562598489416e+18,0.0015510491987921243,0.00023050096739098082,over range,,
93,23.033,23.183,-1.7038707066010022e+18,0.0015423332729663905,0.00014887013848419883,over range,,
94,23.02,23.176,-1.7720277529690762e+18,0.0015364567802405827,0.00010434423180777231,over range,,
95,23.029,23.18,-1.7152307647692012e+18,0.0015392523124324218,0.00010434423180777231,over range,,
96,23.015,23.318,-3.4417358147209236e+18,0.0015431746046887741,0.00014887013848419883,over range,,
97,23.076,23.066,1.1359375864098826e+17,0.0015448586452051247,0.00017855407626848319,over range,,
98,22.974,23.271,-3.3736109428374697e+18,0.0015538712814059095,0.00011918620069991449,over range,,
99,23.006,23.217,-2.3967635590291584e+18,0.001535898283354384,0.00014887013848419883,over range,,
100,23.105,23.172,-7.610637460035822e+17,0.001534781898543427,0.00016371210737634102,over range,,
101,23.006,23.169,-1.8515441366478477e+18,0.0015521774162725506,0.00016371210737634102,over range,,
102,23.072,23.187,-1.3062999407599037e+18,0.0015409320726171387,0.00014144915403812775,over range,,
103,22.969,23.201,-2.6353115451363036e+18,0.001555566995025827,0.0002527639207291941,over range,,
104,23.124,23.209,-9.655222456611423e+17,0.0015487952234076103,0.0001562911229302699,over range,,
105,23.005,23.291,-3.248650785727575e+18,0.0015272674961917241,0.0001711330918224121,over range,,
106,23.021,23.238,-2.4649087223525704e+18,0.0015485137068882546,0.00020823801405276754,over range,,
107,23.08,23.145,-7.383489909883448e+17,0.0015440163953515692,0.00017855407626848319,over range,,
108,23.07,23.099,-3.294199537747077e+17,0.0015454204003371639,0.0001562911229302699,over range,,
109,23.134,23.16,-2.953388039436192e+17,0.0015386927993796477,0.0001711330918224121,over range,,
110,23.051,23.15,-1.1245613034834929e+18,0.0015603815729158424,0.00014887013848419883,over range,,
111,23.076,23.266,-2.1582042141528678e+18,0.0015381334897079917,0.00023050096739098082,over range,,
112,23.051,23.117,-7.497119622617779e+17,0.001545139497241991,0.00017855407626848319,over range,,
113,23.062,23.148,-9.768919868765393e+17,0.0015423332729663905,0.00011918620069991449,over range,,
114,23.07,23.031,4.4301843594660845e+17,0.0015487952234076103,0.00021565899849883863,over range,,
115,22.992,23.046,-6.134084938340145e+17,0.001542052931002437,0.00018597506071455427,over range,,
116,23.074,23.364,-3.294043540652488e+18,0.0015516132049878827,0.0001711330918224121,over range,,
117,23.064,23.132,-7.724284332695547e+17,0.001546544523486594,0.00014144915403812775,over range,,
118,23.078,23.166,-9.99607186786862e+17,0.0015409320726171387,0.00026018490517526515,over range,,
119,22.896,22.925,-3.29430225194093e+17,0.0015350609186490457,0.00031955278074383386,over range,,
120,23.044,23.013,3.521439950383642e+17,0.001536177506416402,0.00020081702960669646,over range,,
121,23.117,23.257,-1.5902582934309038e+18,0.0015386927993796477,0.00016371210737634102,over range,,
122,22.943,23.226,-3.2146113562532925e+18,0.0015544363137922493,0.00020081702960669646,over range,,
123,22.97,23.365,-4.486713677332224e+18,0.0015499218013691669,0.0002750268740674073,over range,,
124,22.8,23.273,-5.372785878564116e+18,0.001544297094269192,0.00014887013848419883,over range,,
125,23.119,23.408,-3.2826590083492936e+18,0.001546825682012569,0.0002527639207291941,over range,,
126,23.004,23.306,-3.430384299448492e+18,0.0015370154802123472,4.497635623920359e-05,over range,,
127,23.039,23.128,-1.0109732318227368e+18,0.001542052931002437,7.466029402348795e-05,over range,,
128,23.068,23.081,-1.476714896096452e+17,0.001558397297620135,0.00019339604516062535,over range,,
129,23.005,23.141,-1.544854378954412e+18,0.0015487952234076103,0.00026760588962133626,over range,,
130,23.06,23.232,-1.953754630442677e+18,0.001556415545648541,0.00023050096739098082,over range,,
131,23.06,23.355,-3.3508427754039265e+18,0.0015381334897079917,0.00014887013848419883,over range,,
132,23.041,23.322,-3.191838526038421e+18,0.0015306026777253485,0.0002750268740674073,over range,,
133,23.066,23.246,-2.0446218240005192e+18,0.0015286562710683676,0.00020081702960669646,over range,,
134,23.04,23.205,-1.874250405251062e+18,0.0015544363137922493,0.00026760588962133626,over range,,
135,22.961,23.18,-2.4876525661222354e+18,0.0015473881524158887,0.00020081702960669646,over range,,
136,23.037,23.136,-1.1245641200747708e+18,0.0015626524100172529,0.00018597506071455427,over range,,
137,23.045,23.095,-5.6796584421460986e+17,0.0015412122108114067,0.00019339604516062535,over range,,
138,22.982,23.145,-1.8515520850938158e+18,0.0015381334897079917,0.00020823801405276754,over range,,
139,23.105,23.138,-3.748545725579888e+17,0.001543735747455141,0.00018597506071455427,over range,,
140,22.988,23.213,-2.55579235231477e+18,0.0015521774162725506,0.0001562911229302699,over range,,
141,23.042,23.216,-1.9764783592921603e+18,0.0015490767911060742,8.950226291563013e-05,over range,,
142,23.014,23.056,-4.770946406939226e+17,0.0015487952234076103,0.00020081702960669646,over range,,
143,23.059,23.186,-1.4426097577390605e+18,0.0015381334897079917,0.00026760588962133626,over range,,
144,23.027,23.23,-2.3058856496047647e+18,0.0015454204003371639,0.00020081702960669646,over range,,
145,22.907,23.074,-1.8970130518033203e+18,0.0015406519853421456,0.0002527639207291941,over range,,
146,23.027,23.003,2.726280976203241e+17,0.001555566995025827,0.00020823801405276754,over range,,
147,23.048,23.152,-1.1813569062630175e+18,0.0015572645591495247,0.00017855407626848319,over range,,
148,22.933,23.153,-2.4990237777630326e+18,0.001543735747455141,6.723930957741687e-05,over range,,
149,23.019,23.275,-2.907891529782535e+18,0.0015328301773372558,0.00020823801405276754,over range,,
