Time,Gold Probe Temperature,Stainless Steel Probe Temperature,Radical Density,Convectron Pressure,Baratron Pressure,Ion Gauge Pressure,Plasma Power,Flow Rate
1,56.894,44.054,1.4537348459995634e+20,0.03697002647724291,0.02014842322064578,nan,200,3
2,57.344,43.971,1.5140979613362497e+20,0.03682247156396331,0.020111318298415427,nan,200,3
3,57.514,43.987,1.5315305521442115e+20,0.037151924968892754,0.020178107158430065,nan,200,3
4,58.008,43.964,1.5900704579625874e+20,0.037559354477115586,0.020155844205091852,nan,200,3
5,58.136,43.957,1.605356787539183e+20,0.03750477344866363,0.020259737987336848,nan,200,3
6,58.557,43.998,1.6483713755093733e+20,0.03722628809550014,0.02026715897178292,nan,200,3
7,58.679,44.268,1.631554360457989e+20,0.03738225596120081,0.020259737987336848,nan,200,3
8,58.95,44.004,1.692186157234339e+20,0.03749114058930953,0.020296842909567205,nan,200,3
9,59.096,44.244,1.6814881012756283e+20,0.037334718430452475,0.020304263894013276,nan,200,3
10,59.232,44.169,1.705394267148539e+20,0.03749795639943664,0.020163265189537923,nan,200,3
11,59.504,44.252,1.7267727183349062e+20,0.037253366120486985,0.020415578660704342,nan,200,3
12,59.656,44.349,1.732976592444816e+20,0.038005780111975085,0.02047494653627291,nan,200,3
13,59.879,44.25,1.7694556916588816e+20,0.03790918068856771,0.02049720948961112,nan,200,3
14,59.944,44.175,1.7853243093514247e+20,0.037620853086244896,0.020467525551826838,nan,200,3
15,60.091,44.204,1.7986768045588752e+20,0.03806109025985452,0.020578840318517904,nan,200,3
16,60.287,44.316,1.8081592834650663e+20,0.03781282679225057,0.020571419334071833,nan,200,3
17,60.417,44.23,1.832635342521018e+20,0.037819701084249535,0.020623366225194333,nan,200,3
18,60.525,44.345,1.8318139813120727e+20,0.037888512776987286,0.0206827341007629,nan,200,3
19,60.642,44.307,1.849371879278685e+20,0.038137273167635974,0.020667892131870758,nan,200,3
20,60.739,44.281,1.8633039939786804e+20,0.038040339527872,0.020727260007439328,nan,200,3
21,60.975,44.412,1.8751580312211574e+20,0.038192774678522105,0.020719839022993257,nan,200,3
22,60.988,44.45,1.8723179649524305e+20,0.037985059534831715,0.020786627883007894,nan,200,3
23,61.088,44.56,1.8711577281746387e+20,0.03822055571606227,0.02089052166525289,nan,200,3
24,61.194,44.454,1.8951859718446842e+20,0.03819971804424383,0.02089794264969896,nan,200,3
25,61.312,44.502,1.9030984052949307e+20,0.03811648090108127,0.020771785914115753,nan,200,3
26,61.496,44.312,1.945490334967805e+20,0.03866078212869315,0.02081631182079218,nan,200,3
27,61.468,44.6,1.9096391777040807e+20,0.03839464561339049,0.02081631182079218,nan,200,3
28,61.632,44.614,1.9266171140796128e+20,0.038717045506799656,0.02081631182079218,nan,200,3
29,61.753,44.403,1.9642596072117934e+20,0.03847149616407353,0.02094246855637539,nan,200,3
30,61.826,44.322,1.981716492716536e+20,0.038639704447452024,0.02095731052526753,nan,200,3
31,62.049,44.474,1.9897134076287127e+20,0.03833885074487368,0.020972152494159672,nan,200,3
32,61.963,44.339,1.9952976583457286e+20,0.03848548550897215,0.020927626587483247,nan,200,3
33,62.14,44.277,2.0223731605836323e+20,0.038040339527872,0.020927626587483247,nan,200,3
34,62.399,44.607,2.0142440013247116e+20,0.03856251788438329,0.020920205603037176,nan,200,3
35,62.34,44.495,2.0202750450110847e+20,0.03833188208971858,0.021001836431943956,nan,200,3
36,62.335,44.407,2.0296960794763995e+20,0.03829009675051785,0.02094988954082146,nan,200,3
37,62.534,44.482,2.0437136377703527e+20,0.03859758355307033,0.0210166784008361,nan,200,3
38,62.583,44.508,2.046310261333275e+20,0.03868890359011327,0.020986994463051814,nan,200,3
39,62.803,44.451,2.077686213421845e+20,0.038352791856074535,0.020972152494159672,nan,200,3
40,62.81,44.645,2.0564609219129252e+20,0.0384994799407998,0.020994415447497885,nan,200,3
41,63.037,44.564,2.0913527254616595e+20,0.038513479461406236,0.02110573021418895,nan,200,3
42,63.118,44.488,2.1091487851396307e+20,0.038401625678821556,0.021046362338620384,nan,200,3
43,63.055,44.441,2.10735091684611e+20,0.03880864818511273,0.021001836431943956,nan,200,3
44,63.167,44.487,2.114809698740438e+20,0.03877339076549785,0.02108346726085074,nan,200,3
45,63.223,44.57,2.111729034399901e+20,0.03882981802394929,0.02102409938528217,nan,200,3
46,63.292,44.395,2.1394037118664606e+20,0.03864672906406122,0.02109088824529681,nan,200,3
47,63.327,44.518,2.129405098423858e+20,0.038787489887975285,0.021046362338620384,nan,200,3
48,63.413,44.556,2.1348282030189226e+20,0.03888632740148893,0.021135414151973238,nan,200,3
49,63.472,44.56,2.1410536637971182e+20,0.03877339076549785,0.021068625291958597,nan,200,3
50,63.47,44.533,2.1438918483600133e+20,0.039141639032542516,0.020986994463051814,nan,200,3
51,63.738,44.56,2.171167891513385e+20,0.03877339076549785,0.02109088824529681,nan,200,3
52,63.729,44.587,2.167084299009633e+20,0.03891461292225649,0.021113151198635022,nan,200,3
53,63.848,44.581,2.1812374549637192e+20,0.03882276012820419,0.021127993167527167,nan,200,3
54,63.945,44.646,2.18484084351094e+20,0.038717045506799656,0.021120572183081096,nan,200,3
55,63.864,44.646,2.17567082908924e+20,0.03880864818511273,0.021127993167527167,nan,200,3
56,64.062,44.59,2.204443015493e+20,0.039170110264405075,0.021127993167527167,nan,200,3
57,64.056,44.381,2.227488417224255e+20,0.038681871307657996,0.02108346726085074,nan,200,3
58,64.119,44.545,2.2160041351123108e+20,0.038717045506799656,0.021061204307512526,nan,200,3
59,64.167,44.76,2.197033415049329e+20,0.03876634312624448,0.021120572183081096,nan,200,3
60,64.303,44.591,2.23161333166796e+20,0.03852748407264188,0.021068625291958597,nan,200,3
61,64.476,44.517,2.2595992430219955e+20,0.03891461292225649,0.021127993167527167,nan,200,3
62,64.482,44.524,2.259483871673599e+20,0.039091864164193725,0.02110573021418895,nan,200,3
63,64.456,44.609,2.2468912877147786e+20,0.03877339076549785,0.02108346726085074,nan,200,3
64,64.469,44.583,2.2513144856518066e+20,0.038590567869387186,0.021127993167527167,nan,200,3
65,64.657,44.333,2.300979511161752e+20,0.03878043968599715,0.021172519074203592,nan,200,3
66,64.587,44.437,2.2812476731170708e+20,0.0390847586376733,0.021053783323066455,nan,200,3
67,64.676,44.647,2.2674838742954846e+20,0.038639704447452024,0.02115025612086538,nan,200,3
68,64.764,44.628,2.279603252784689e+20,0.038843937665004345,0.02110573021418895,nan,200,3
69,64.762,44.487,2.2953836532099773e+20,0.03890046759098247,0.02115025612086538,nan,200,3
70,64.937,44.72,2.2887445990007207e+20,0.038935840564096054,0.021179940058649663,nan,200,3
71,64.984,44.449,2.3248309749733045e+20,0.03866781057718025,0.021209623996433946,nan,200,3
72,65.037,44.693,2.303130600415944e+20,0.03848548550897215,0.021246728918664304,nan,200,3
73,65.034,44.677,2.304607345226633e+20,0.03863268110767115,0.021187361043095734,nan,200,3
74,65.076,44.676,2.309475671676734e+20,0.03865375495773087,0.021172519074203592,nan,200,3
75,65.241,44.46,2.3526778610453905e+20,0.038893396853629976,0.02116509808975752,nan,200,3
76,65.174,44.627,2.3261330165288953e+20,0.038731124140516944,0.02115767710531145,nan,200,3
77,65.142,44.593,2.3263702233514508e+20,0.0390847586376733,0.02114283513641931,nan,200,3
78,65.302,44.714,2.3307470102244488e+20,0.039248512981660134,0.02115767710531145,nan,200,3
79,65.311,44.432,2.3637817724992307e+20,0.03892876339718068,0.021276412856448587,nan,200,3
80,65.429,44.586,2.3596564729704487e+20,0.03899250423717592,0.021283833840894658,nan,200,3
81,65.496,44.599,2.3657656710357847e+20,0.03857654032740301,0.021217044980880017,nan,200,3
82,65.487,44.563,2.3688339954771503e+20,0.03866781057718025,0.021209623996433946,nan,200,3
83,65.439,44.566,2.363059250047075e+20,0.038893396853629976,0.021179940058649663,nan,200,3
