Time,Gold Probe Temperature,Stainless Steel Probe Temperature,Radical Density,Convectron Pressure,Baratron Pressure,Ion Gauge Pressure,Plasma Power,Flow Rate
1,37.777,32.022,6.527411734208968e+19,0.10321442595761772,0.06070410321842428,nan,0,9.25
2,37.763,31.843,6.71474987116401e+19,0.10276510778454945,0.06067441928064,nan,0,9.25
3,37.779,32.018,6.534221211039814e+19,0.10575946657786729,0.06071894518731642,nan,0,9.25
4,37.811,32.128,6.4456389472112304e+19,0.10368455488382279,0.060733787156208564,nan,0,9.25
5,37.869,31.753,6.9371627184641384e+19,0.10516516456167095,0.06077831306288499,nan,0,9.25
6,37.815,32.105,6.476286059421597e+19,0.10394876181301783,0.060659577311747856,nan,0,9.25
7,37.693,31.872,6.602428589874654e+19,0.10328950308585338,0.060659577311747856,nan,0,9.25
8,37.686,31.883,6.582000609499016e+19,0.10357152901450711,0.06065215632730178,nan,0,9.25
9,37.73,31.927,6.581954201381591e+19,0.10342101949029797,0.060733787156208564,nan,0,9.25
10,37.654,32.104,6.294814951849587e+19,0.10457420215088191,0.06060763042062536,nan,0,9.25
11,37.757,31.821,6.732921601816795e+19,0.10413789314016432,0.06072636617176249,nan,0,9.25
12,37.686,31.884,6.580865313646174e+19,0.10383544793342055,0.060681840265086065,nan,0,9.25
13,37.608,31.913,6.4594715241026765e+19,0.10302697179685656,0.06069668223397821,nan,0,9.25
14,37.87,31.919,6.749829339041119e+19,0.10468832222054353,0.06066699829619392,nan,0,9.25
15,37.755,31.828,6.722705782559501e+19,0.10554820176997444,0.06069668223397821,nan,0,9.25
16,37.625,31.958,6.427666595934963e+19,0.10427048978225334,0.06068926124953214,nan,0,9.25
17,37.597,31.822,6.550305932138293e+19,0.10259711820756444,0.060629893373963566,nan,0,9.25
18,37.647,31.847,6.578635856505388e+19,0.10506962265260644,0.06063731435840964,nan,0,9.25
19,37.762,31.925,6.6205202452313915e+19,0.10357152901450711,0.06071152420287035,nan,0,9.25
20,37.755,31.842,6.706811208722433e+19,0.10336463482443187,0.060733787156208564,nan,0,9.25
21,37.731,31.89,6.62509433485182e+19,0.10444121928983174,0.06069668223397821,nan,0,9.25
22,37.814,31.808,6.81233346977922e+19,0.10392986758273183,0.06077089207843892,nan,0,9.25
23,37.649,31.861,6.5650101481161466e+19,0.1047835174054999,0.060659577311747856,nan,0,9.25
24,37.7,31.908,6.569497636874482e+19,0.10355270335188119,0.060644735342855714,nan,0,9.25
25,37.616,31.995,6.3754543696433545e+19,0.10287725361992704,0.06066699829619392,nan,0,9.25
26,37.735,31.966,6.543349407003554e+19,0.10375997397907859,0.06056310451394893,nan,0,9.25
27,37.733,31.869,6.651204238377461e+19,0.10366570867706756,0.06054826254505679,nan,0,9.25
28,37.785,32.096,6.452477127358262e+19,0.10491693610771569,0.0606224723895175,nan,0,9.25
29,37.607,32.052,6.300538342396479e+19,0.10330828089922718,0.06067441928064,nan,0,9.25
30,37.694,32.032,6.4219193929653445e+19,0.10347743491359432,0.06071152420287035,nan,0,9.25
31,37.696,31.884,6.592207721977172e+19,0.10468832222054353,0.060681840265086065,nan,0,9.25
32,37.801,32.17,6.386617875216869e+19,0.10353388111109886,0.060629893373963566,nan,0,9.25
33,37.685,31.892,6.570648721019281e+19,0.10447919712755467,0.06070410321842428,nan,0,9.25
34,37.724,31.862,6.6489432131967754e+19,0.10497416754278222,0.060570525498395,nan,0,9.25
35,37.652,31.753,6.69102728518966e+19,0.10425153707313378,0.06081541798511535,nan,0,9.25
36,37.619,31.961,6.417455466483756e+19,0.10321442595761772,0.06065215632730178,nan,0,9.25
37,37.48,31.83,6.408516194788058e+19,0.10396765947823498,0.060592788451733215,nan,0,9.25
