
Time,Gold Probe Temperature,Stainless Steel Probe Temperature
1,23.891,23.972
2,23.835,23.926
3,23.84,23.962
4,23.905,24.035
5,23.885,24.173
6,23.912,27.283
7,23.943,31.838
8,23.986,32.83
9,24.046,33.368
10,24.077,33.013
11,24.091,32.123
12,24.126,31.542
13,27.491,31.0
14,31.305,30.518
15,32.265,30.15
16,32.794,29.77
17,33.106,29.441
18,33.291,29.163
19,33.41,28.809
20,33.487,28.548
21,33.548,28.379
22,32.709,28.178
23,32.153,27.904
24,31.639,27.679
25,31.195,27.446
26,30.86,27.311
