Time,Gold Probe Temperature,Stainless Steel Probe Temperature,Radical Density,Convectron Pressure,Baratron Pressure,Ion Gauge Pressure,Plasma Power,Flow Rate
1,25.188,25.132,6.358927660633678e+17,0.001034692734809144,0.0006906020030473883,nan,,
2,25.179,25.097,9.311343811884737e+17,0.0010331891255383281,0.0006460760963709618,nan,,
3,25.171,25.276,-1.1922690042754186e+18,0.0010247719456636677,0.000660918065263104,nan,,
4,25.202,25.134,7.721552321747944e+17,0.0010343166274704963,0.000749969878615957,nan,,
5,25.154,25.216,-7.040138199793965e+17,0.0010326258355620051,0.0008167587386305968,nan,,
6,25.208,25.103,1.1923049709935905e+18,0.00102981398887984,0.0006757600341552461,nan,,
7,25.101,25.038,7.153911029780023e+17,0.0010439502080329737,0.0006534970808170328,nan,,
8,25.04,25.167,-1.4421051460271936e+18,0.0010288784091668334,0.0008093377541845257,nan,,
9,25.206,25.251,-5.10974655809193e+17,0.0010188281478436317,0.0008687056297530944,nan,,
10,25.142,25.056,9.765625620364728e+17,0.0011399609127534134,0.0007054439719395304,nan,,
11,25.198,25.099,1.1241740433285912e+18,0.0011304683682694145,0.0007870748008463125,nan,,
12,25.218,25.249,-3.520048855563742e+17,0.0011323193647330412,0.000757390863062028,nan,,
13,25.183,25.21,-3.0658698420367565e+17,0.0011329370368134645,0.0007870748008463125,nan,,
14,25.223,25.175,5.450468537473309e+17,0.001139339411288017,0.0008464426764148811,nan,,
15,25.144,25.204,-6.8130512198311e+17,0.0011337611237413005,0.0008390216919688101,nan,,
16,25.144,25.124,2.2710487635631277e+17,0.0011395465407851623,0.0008612846453070233,nan,,
17,25.06,25.202,-1.6124226842503122e+18,0.0011345858101016227,0.0009058105519834499,nan,,
18,25.237,25.392,-1.7599806141172147e+18,0.002262959064746672,0.0047647224639404155,nan,,
19,25.302,25.386,-9.537969411067005e+17,0.006949209086125829,0.008445530749191675,nan,,
20,25.251,25.065,2.112097104906855e+18,0.013989461838057127,0.010746035927473713,nan,,
21,25.081,25.233,-1.7259642510659195e+18,0.01952136602760327,0.012445441365623993,nan,,
22,25.268,25.114,1.7487105998795443e+18,0.021989748170375016,0.01338048540582895,nan,,
23,25.252,25.171,9.197672073534753e+17,0.02259759663425946,0.013981585145960708,nan,,
24,25.169,25.549,-4.31467347755316e+18,0.023434278173618005,0.01427842452380355,nan,,
25,25.218,25.386,-1.907593882213401e+18,0.023725750146662946,0.014530737994969968,nan,,
26,25.198,25.124,8.402880425183935e+17,0.02421814768508052,0.014745946543906029,nan,,
27,25.181,25.126,6.24538192001081e+17,0.024725258486079593,0.014731104575013887,nan,,
28,25.261,25.189,8.175682845900168e+17,0.024635529870847193,0.014864682295043168,nan,,
29,25.299,25.282,1.930338275333113e+17,0.02468484023708958,0.014849840326151024,nan,,
30,25.179,25.249,-7.948497415789432e+17,0.024846910744755656,0.014768209497244243,nan,,
31,25.112,25.048,7.267452477476526e+17,0.02477925244962723,0.015050206906194944,nan,,
32,25.015,25.097,-9.311343811885142e+17,0.02581844854786052,0.01542867711294457,nan,,
33,25.134,25.089,5.109890935960221e+17,0.026282514495729044,0.015658727630772775,nan,,
34,25.101,25.237,-1.5442827270880177e+18,0.026745196333293596,0.015985250946399902,nan,,
35,25.194,25.304,-1.2490376281522043e+18,0.027038499633150085,0.016007513899738115,nan,,
36,25.101,25.352,-2.8500529566261263e+18,0.02699429994111838,0.01610398669753704,nan,,
37,25.132,25.293,-1.8281403938372774e+18,0.02731018576865145,0.01611140768198311,nan,,
38,25.247,25.144,1.1695860315539843e+18,0.02734993052350265,0.017113240582202708,nan,,
39,25.126,25.325,-2.2596143569233902e+18,0.029974043658008365,0.01877554109812263,nan,,
40,25.245,25.206,4.428481748794123e+17,0.03237566608422955,0.019643796278312947,nan,,
41,25.174,25.239,-7.380760461463058e+17,0.03393640958080912,0.020311684878459347,nan,,
42,25.169,25.2,-3.520078918389648e+17,0.03481748277434502,0.020860837727468606,nan,,
43,25.144,25.165,-2.384584144177297e+17,0.03511622812200824,0.021009257416390027,nan,,
44,25.253,25.235,2.0439043217601216e+17,0.03568249110587833,0.021239307934218233,nan,,
45,25.179,25.248,-7.834948817882715e+17,0.035740916592786456,0.021268991872002516,nan,,
46,25.198,25.286,-9.992332346375982e+17,0.03629085532317349,0.021417411560923937,nan,,
47,25.25,25.227,2.611659163527809e+17,0.03629745292397585,0.021454516483154294,nan,,
48,25.145,25.137,9.08417444678935e+16,0.036549052528067,0.02156583124984536,nan,,
49,25.247,25.173,8.402808592917108e+17,0.03602138371377655,0.021447095498708223,nan,,
50,25.166,25.179,-1.476167532468189e+17,0.03600174502045535,0.02150646337427679,nan,,
51,25.212,25.206,6.813048844298651e+16,0.03603448212716678,0.021528726327615003,nan,,
52,25.206,25.213,-7.948547285480702e+16,0.03611973798879737,0.021602936172075714,nan,,
53,25.133,24.976,1.782819368385189e+18,0.03633045892379753,0.02155098928095322,nan,,
54,25.329,25.073,2.9069682981819213e+18,0.03615915485194966,0.021476779436492507,nan,,
55,25.237,25.536,-3.394974424387418e+18,0.036509210639954756,0.021536147312061077,nan,,
56,25.181,25.038,1.6238242496167729e+18,0.03619203509456875,0.021521305343168932,nan,,
57,25.159,25.241,-9.311109952421644e+17,0.03680908671905579,0.021588094203183573,nan,,
58,25.268,25.14,1.4534671506729444e+18,0.03627766371898642,0.02149904238983072,nan,,
59,25.151,25.239,-9.992414163211436e+17,0.0361394410464353,0.02149904238983072,nan,,
60,25.176,25.311,-1.5329079480738563e+18,0.03633706372445078,0.021580673218737502,nan,,
61,25.163,25.166,-3.4065481832146316e+16,0.03601483629265062,0.02151388435872286,nan,,
62,25.163,25.301,-1.5669752974976684e+18,0.03629745292397585,0.021476779436492507,nan,,
63,25.131,25.278,-1.6691760245127885e+18,0.03657563793876016,0.02157325223429143,nan,,
64,25.229,25.27,-4.655531453755037e+17,0.0361066085851874,0.02176619782988928,nan,,
65,25.226,25.224,2.2710091557404316e+16,0.03863268110767115,0.024734591608317716,nan,,
66,25.194,25.127,7.608009374895021e+17,0.04484263213463788,0.02858608253582861,nan,,
67,25.22,25.245,-2.8387510556211702e+17,0.049738270861017224,0.032170418023280946,nan,,
68,25.18,25.282,-1.158202965199908e+18,0.05623149979897936,0.03450802812379334,nan,,
69,25.219,25.245,-2.952301097845743e+17,0.05821816008025801,0.035509861024012934,nan,,
70,25.268,25.14,1.4534671506729444e+18,0.05950206980269941,0.03645232604866396,nan,,
71,25.266,25.399,-1.5101750754915487e+18,0.061258101905952454,0.03712021464881036,nan,,
72,25.172,24.954,2.475516671689343e+18,0.06192989370018934,0.037624841591143196,nan,,
73,25.186,25.161,2.838792628497843e+17,0.06313478105632349,0.03812204754902996,nan,,
74,25.259,25.188,8.062133101081248e+17,0.06407127358361644,0.0384708338179953,nan,,
75,25.137,25.248,-1.260404809833266e+18,0.06470330661508363,0.038700884335823506,nan,,
76,25.185,25.2,-1.7032639927693146e+17,0.06478569200747551,0.038930934853651705,nan,,
77,25.183,24.999,2.089410476683701e+18,0.06530595042876713,0.03909419651146527,nan,,
78,25.172,25.176,-4.542056322417468e+16,0.06547236175821039,0.03933908899818562,nan,,
79,25.1,25.151,-5.791147064441775e+17,0.06643145105284338,0.039450403764876685,nan,,
80,25.178,25.155,2.6116919517137658e+17,0.06633491326697093,0.03958398148490596,nan,,
81,25.223,24.969,2.884310024244243e+18,0.06599813444830732,0.039724980189381316,nan,,
82,25.1,25.243,-1.6237661697029678e+18,0.06641937615062682,0.0397027172360431,nan,,
83,25.153,25.045,1.2263832482619692e+18,0.06656441994771199,0.03984371594051845,nan,,
84,25.059,25.198,-1.5783585170065083e+18,0.06655232087642522,0.03991792578497916,nan,,
85,25.293,25.166,1.4421053975607936e+18,0.06798294316675876,0.04114238821858089,nan,,
86,25.252,25.024,2.5890408008338775e+18,0.07033362226881285,0.04212195816546228,nan,,
87,25.284,25.141,1.6237950490758597e+18,0.07168897686056369,0.043101528112343655,nan,,
88,25.215,25.247,-3.633600084904585e+17,0.07280527504125309,0.04379167966582827,nan,,
89,25.153,24.889,2.997907493375894e+18,0.0748994318186034,0.04447441023486681,nan,,
90,25.221,25.192,3.2929816459089594e+17,0.0752542680337238,0.0448603014260625,nan,,
91,25.244,25.211,3.747173598152525e+17,0.07576212749531062,0.045357507383949267,nan,,
92,25.194,25.07,1.408063507098165e+18,0.0767881515389851,0.04563950479289997,nan,,
93,25.151,25.299,-1.6805248173561193e+18,0.07689990201495209,0.04602539598409567,nan,,
94,25.229,25.024,2.327865632328707e+18,0.07799802833932597,0.04621834157969352,nan,,
95,25.243,25.332,-1.0105800639457623e+18,0.07791300318810804,0.046886230179839915,nan,,
96,25.279,25.182,1.1014475056726144e+18,0.08256460810637332,0.05096035064073294,nan,,
97,25.248,25.305,-6.472284764383063e+17,0.0898797811257952,0.05477473664601348,nan,,
98,25.291,25.107,2.089371061751124e+18,0.09543647682760874,0.05818838949120618,nan,,
99,25.182,25.215,-3.74717098533267e+17,0.1005659664459563,0.061498148554153885,nan,,
100,25.229,25.2,3.292977052687207e+17,0.10400546511596065,0.06425133378364627,nan,,
101,25.262,25.15,1.2717815379828467e+18,0.10995470894667932,0.06699709802869257,nan,,
102,25.176,25.242,-7.49430670454942e+17,0.11500418752029684,0.06959444258481744,nan,,
103,25.15,25.281,-1.4874962241864668e+18,0.11777569192324813,0.07169458118305556,nan,,
104,25.225,25.277,-5.904569278425932e+17,0.12305005306815589,0.07372793092127904,nan,,
105,25.119,25.213,-1.067376349764344e+18,0.12684282173051264,0.07560543998613503,nan,,
106,25.166,25.148,2.0439353277827686e+17,0.13020696358911937,0.07728258247094709,nan,,
107,25.396,25.266,1.4761451480562906e+18,0.13168275473945773,0.07882614723572988,nan,,
108,25.219,25.279,-6.812962178701752e+17,0.1341715408832068,0.08030292314049803,nan,,
109,25.158,25.21,-5.904638214292744e+17,0.13635989516224165,0.08151254360520761,nan,,
110,25.158,25.227,-7.834977490583427e+17,0.13990013556436004,0.08270732210102506,nan,,
111,25.254,25.154,1.1355184379637923e+18,0.1400273495553572,0.08379078583015144,nan,,
112,25.289,25.211,8.856955777451421e+17,0.1446849185999373,0.08462935707255746,nan,,
113,25.121,25.078,4.8827940501751936e+17,0.14513272754184556,0.085519875206086,nan,,
114,25.228,25.184,4.996254984217778e+17,0.14640462484994557,0.08638813038627631,nan,,
115,25.148,25.349,-2.2823145153302853e+18,0.14624503010592566,0.08713022883088342,nan,,
116,25.203,25.113,1.0219739055746952e+18,0.14966055102730633,0.08776101250879947,nan,,
117,25.225,25.373,-1.680503172753097e+18,0.14957895678075372,0.09070714333388968,nan,,
118,25.149,25.059,1.0219835410515209e+18,0.16473700552773501,0.09947132596469964,nan,,
119,25.215,25.404,-2.1460363991096535e+18,0.17780696028480983,0.10770861869983855,nan,,
120,25.254,25.18,8.402798334818129e+17,0.18876531758135573,0.11648022231509458,nan,,
121,25.172,25.016,1.7714514453643108e+18,0.20080016331639508,0.12459877929909635,nan,,
122,25.137,25.137,0.0,0.22536952016138287,0.13324422617876916,nan,,
123,25.096,25.215,-1.3512525674380908e+18,0.2389114985904264,0.1414518349761238,nan,,
124,25.268,25.299,-3.520018198516068e+17,0.26012619083750926,0.14961491786680198,nan,,
125,25.123,25.308,-2.1006527297701983e+18,0.27475589612967827,0.1581861549020141,nan,,
126,25.25,25.209,4.655580942093931e+17,0.29355102355380286,0.16628986991712372,nan,,
127,25.19,25.357,-1.8962487236972736e+18,0.3100042100956334,0.1747646341545369,nan,,
128,25.308,25.197,1.2604160139140001e+18,0.3226531083959497,0.18273477144961725,nan,,
129,25.217,25.261,-4.996187929940554e+17,0.3372864033389617,0.1910907999358933,nan,,
130,25.216,25.208,9.084061958438187e+16,0.3556086426351728,0.19891251754205222,nan,,
131,25.182,25.061,1.3739996141304868e+18,0.3706569451095516,0.20691975975936294,nan,,
132,25.135,24.947,2.1348518534174234e+18,0.3827073043221484,0.2153722610434379,nan,,
133,25.317,25.123,2.2029176850989215e+18,0.4015943661794018,0.22311234782069006,nan,,
134,25.213,25.328,-1.3058066097783178e+18,0.40784775519363103,0.23134221957138287,nan,,
135,25.263,25.13,1.5102458464727265e+18,0.42364094162968224,0.23907488536418897,nan,,
136,25.268,25.152,1.3172018476113907e+18,0.43646072942734887,0.24705986462816146,nan,,
137,25.207,25.061,1.6578838319260692e+18,0.4470603265602901,0.25514873767437896,nan,,
138,25.225,25.273,-5.4503754390935904e+17,0.45966873688697646,0.26277750968494,nan,,
139,25.171,25.227,-6.358822311198336e+17,0.47108878381367747,0.27073280501112823,nan,,
140,25.103,25.223,-1.362605730942347e+18,0.48693506871181896,0.2783393140683511,nan,,
141,25.207,25.154,6.018247721208106e+17,0.49541709037047776,0.2863910821923382,nan,,
142,25.238,25.235,3.406507202933536e+16,0.5137600292459901,0.2943537985029725,nan,,
143,25.254,25.238,1.8168028917322835e+17,0.5340426569366581,0.3018786767312886,nan,,
144,25.269,25.23,4.42846322270363e+17,0.5558328489264334,0.30967813138410927,nan,,
145,25.328,25.363,-3.9741698228257606e+17,0.5705747202278681,0.3169061702345825,nan,,
146,25.205,25.039,1.884998449963533e+18,0.585069101282946,0.32469820390295717,nan,,
147,25.187,25.025,1.839581300211341e+18,0.6093842295172172,0.3325421844624543,nan,,
148,25.225,25.15,8.516394227563887e+17,0.622710030457421,0.3397924862662658,nan,,
149,25.268,25.074,2.2029365287788099e+18,0.6429548407902779,0.3475696779657483,nan,,
150,25.23,25.225,5.677521899793338e+16,0.6537979607112235,0.35530234375855435,nan,,
151,25.255,25.21,5.1097830700608576e+17,0.6604874556003506,0.362574908515704,nan,,
152,25.208,25.15,6.58601153598247e+17,0.6834496768833997,0.37037436316852473,nan,,
153,25.168,25.209,-4.655580942093931e+17,0.7033639609617719,0.3775207711900912,nan,,
154,25.275,25.253,2.4980974467810298e+17,0.7145760729290511,0.38514954320065226,nan,,
155,25.312,25.207,1.1922833398970995e+18,0.7414376551188309,0.3926818424134144,nan,,
156,25.197,25.068,1.4648407730401746e+18,0.7503866812147217,0.3997020936993977,nan,,
157,25.136,25.106,3.406583847482278e+17,0.7637354357208066,0.40727149783439015,nan,,
158,25.166,25.303,-1.5556198622930376e+18,0.7875623099283365,0.4143214330581577,nan,,
159,25.107,25.324,-2.4640020141109586e+18,0.795620447707481,0.4219427840842727,nan,,
160,25.109,25.251,-1.6124089138867197e+18,0.8106575658924371,0.42999455220825983,nan,,
161,25.264,25.32,-6.358719302859087e+17,0.8258287496432565,0.4370964343231499,nan,,
162,25.176,25.297,-1.373943065662238e+18,0.8429677669963493,0.4442799472669467,nan,,
163,25.128,25.178,-5.677568422709667e+17,0.8475773996517214,0.451619300884111,nan,,
164,25.234,25.242,-9.084008126725224e+16,0.8681611048273999,0.4584985534656189,nan,,
165,25.15,25.234,-9.538221830462886e+17,0.8772033537601138,0.46595664283392035,nan,,
166,25.141,25.297,-1.7713646135810614e+18,0.8911865868603462,0.4727394226176293,nan,,
167,25.173,25.219,-5.223325610354776e+17,0.9047346276398791,0.4797225689813822,nan,,
168,25.197,25.164,3.7472043087433197e+17,0.935847939206898,0.4868615560185026,nan,,
169,25.234,25.066,1.9077002777185997e+18,0.9309274484623119,0.49359980989553515,nan,,
170,25.156,25.238,-9.311114820126995e+17,0.9485218505474807,0.5006200611815184,nan,,
171,25.279,25.291,-1.3625895880002675e+17,0.961542175475733,0.5075883655763791,nan,,
172,25.186,25.246,-6.813001346335466e+17,0.968911470088793,0.5143488824067499,nan,,
173,25.211,25.145,7.494433457748684e+17,0.9890199859362203,0.5213023448327185,nan,,
174,25.154,25.171,-1.9303756203714413e+17,0.9985946613385418,0.5281964393831186,nan,,
175,25.199,25.234,-3.974259096026068e+17,0.9996844109132146,0.534608169944524,nan,,
176,25.178,25.062,1.317222540517155e+18,1.02843913896196,0.5416655261527376,nan,,
177,25.238,25.207,3.520074622553192e+17,1.0459733848181088,0.5482998862475251,nan,,
178,25.099,25.248,-1.691894744731141e+18,1.0611026977511808,0.5551123499690184,nan,,
179,25.211,25.227,-1.816806374628269e+17,1.0856871452127983,0.5619990235349723,nan,,
180,25.109,25.084,2.838830776000511e+17,1.0983917970487649,0.5684255960652699,nan,,
181,25.213,25.23,-1.9303557637426493e+17,1.1242488478702086,0.5751415869889642,nan,,
182,25.266,25.261,5.6774862840221656e+16,1.13410140909096,0.5820876284304868,nan,,
183,25.226,25.062,1.8622801434897526e+18,1.154276129237183,0.5885735688363529,nan,,
184,25.251,24.975,3.134128864366205e+18,1.1760917909932704,0.5950817721955572,nan,,
185,25.24,25.23,1.1355033904366627e+17,1.207723254191841,0.6020723395437563,nan,,
186,25.267,25.367,-1.1354763020014488e+18,1.2121220771824859,0.6090183809852788,nan,,
187,25.275,25.351,-8.629643920172922e+17,1.223634143719783,0.6154597954844685,nan,,
188,25.232,25.302,-7.948424038062093e+17,1.2549463802049554,0.622198049361501,nan,,
189,25.318,25.106,2.407319252221e+18,1.2608916913097103,0.6290327760363326,nan,,
190,25.23,25.07,1.8168561381912003e+18,1.2919825058188767,0.6357265040066886,nan,,
191,25.191,25.324,-1.5101947828422147e+18,1.3071012147277596,0.6420788666925255,nan,,
192,25.187,25.305,-1.3398764950828257e+18,1.329144839444367,0.6487429107250973,nan,,
193,25.287,25.222,7.380782329064685e+17,1.3308372122900811,0.655488585586576,nan,,
194,25.103,25.197,-1.0673793270983094e+18,1.356976187776166,0.6618928951635353,nan,,
195,25.236,25.406,-1.930296618846748e+18,1.3856421657922373,0.6684159404916318,nan,,
196,25.171,25.218,-5.3368770973585005e+17,1.3856421657922373,0.6749835117264047,nan,,
197,25.339,25.268,8.062020692091286e+17,1.408754236813295,0.6815659249300697,nan,,
198,25.203,25.234,-3.520058056480486e+17,1.422392348005117,0.6877327630047548,nan,,
199,25.082,25.035,5.33704753374066e+17,1.454289597809599,0.6940851256905917,nan,,
200,25.259,25.244,1.7032509301650502e+17,1.4453289838082815,0.7006898018475949,nan,,
201,25.189,24.976,2.418729461567178e+18,1.4702381791050572,0.707168321269015,nan,,
202,25.119,25.244,-1.4193757751374881e+18,1.4823142895650345,0.7130828458725337,nan,,
203,25.298,25.191,1.214996888103842e+18,1.5023888327656607,0.7194648924961548,nan,,
204,25.211,25.181,3.406539271398285e+17,1.5081350256691148,0.7259063069953445,nan,,
205,25.174,25.146,3.179456063728266e+17,1.5399942181004482,0.7320286191633532,nan,,
206,25.189,25.24,-5.791057199066135e+17,1.5611336626959778,0.7380470375491168,nan,,
207,25.264,25.267,-3.406488209788083e+16,1.5653962465774054,0.7440877188882187,nan,,
208,25.074,25.298,-2.543497463769036e+18,1.589482702842748,0.7503213458229184,nan,,
209,25.189,25.273,-9.538157018414085e+17,1.6124735184428935,0.7563175012553438,nan,,
210,25.173,25.279,-1.2036233182373537e+18,1.6007913365865913,0.7621578160144018,nan,,
211,25.238,25.164,8.402821783242963e+17,1.6438452654037163,0.7682207603068418,nan,,
212,25.166,25.224,-6.585926551650883e+17,1.634905052015656,0.7742317577081594,nan,,
213,25.16,25.101,6.699620747442419e+17,1.6819311430930244,0.7802501760939231,nan,,
